<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
24.49,24.5326,24.49,24.5326,605,0
24.54,24.5533,24.54,24.5533,1044,0
24.46,24.5,24.46,24.5,100,0
24.49,24.49,24.4719,24.4719,104,0
24.21,24.27,24.2032,24.2032,4658,0
24.1719,24.19,24.1719,24.1789,1603,0
24.5028,24.5028,24.467,24.4907,4306,0
24.67,24.73,24.67,24.73,997,0
24.68,24.68,24.6302,24.6302,1184,0
24.54,24.54,24.5274,24.5274,346,0
24.6638,24.6849,24.6638,24.6849,291,0
24.64,24.64,24.6,24.6114,423,0
24.69,24.69,24.675,24.675,320,0
24.58,24.58,24.5746,24.5746,119,0
24.82,24.8262,24.82,24.8262,3696,0
24.82,24.8247,24.754,24.7717,2511,0
24.7,24.72,24.655,24.655,3829,0
24.68,24.68,24.64,24.64,360,0
24.6,24.61,24.6,24.61,8270,0
24.44,24.5,24.43,24.4758,5921,0
24.64,24.71,24.64,24.6951,890,0
